gold_000_line_000|שָׁלוֹם, צְלִיל אַבְרָהָם.|שָׁלוֹם, צְלִיל אַבְרָהָם.
gold_000_line_001|לְגַמְרֵי, מַדְהִים, לֹא?|לְגַמְרֵי, מַדְהִים, לֹא?
gold_000_line_002|וְדַוְוקָא בִּגְלַל שֶׁכּוּלָּנוּ הָיִינוּ עֲסוּקִים בַּמִּלְחָמָה, הַפּוֹדְקָאסְט הַזֶּה שֶׁלָּנוּ הוּא הִזְדַּמְּנוּת לְהַשְׁלִים פְּעָרִים שֶׁל מָה שֶׁקָּרָה בַּמִּשְׁפָּט בַּשְּׁבוּעַיִים הָאַחֲרוֹנִים.|וְדַוְוקָא בִּגְלַל שֶׁכּוּלָּנוּ הָיִינוּ עֲסוּקִים בַּמִּלְחָמָה, הַפּוֹדְקָאסְט הַזֶּה שֶׁלָּנוּ הוּא הִזְדַּמְּנוּת לְהַשְׁלִים פְּעָרִים שֶׁל מָה שֶׁקָּרָה בַּמִּשְׁפָּט בַּשְּׁבוּעַיִים הָאַחֲרוֹנִים.
gold_000_line_003|אָז הַיּוֹם אֲנַחְנוּ נְדַבֵּר עַל הַחֲקִירָה הַנֶּגְדִּית שֶׁל אִילָן יְשׁוּעָה, חֲקִירָה שֶׁהִיא מִמַּשָׁ|אָז הַיּוֹם אֲנַחְנוּ נְדַבֵּר עַל הַחֲקִירָה הַנֶּגְדִּית שֶׁל אִילָן יְשׁוּעָה, חֲקִירָה שֶׁהִיא מִמַּשָׁ
gold_000_line_004|הָרָמַת מָסַךְ מֵעַל סְבַךְ שֶׁל אִינְטֶרֶסִים בָּעוֹלָם הַתִּקְשׁוֹרֶת הַיִּשְׂרְאֵלִית.|הָרָמַת מָסַךְ מֵעַל סְבַךְ שֶׁל אִינְטֶרֶסִים בָּעוֹלָם הַתִּקְשׁוֹרֶת הַיִּשְׂרְאֵלִית.
gold_000_line_005|שֶׁנַּתְחִיל?|שֶׁנַּתְחִיל?
gold_000_line_006|אַגַּב, כָּל עוֹרֵךְ דִּין עוֹשֶׂה אֶת זֶה בְּנִפְרָד.|אַגַּב, כָּל עוֹרֵךְ דִּין עוֹשֶׂה אֶת זֶה בְּנִפְרָד.
gold_000_line_007|עוֹרֵךְ הַדִּין שֶׁל שָׁאוּל אַלוֹבִיץ', אַחֲרֵי זֶה עוֹרֶכֶת הַדִּין שֶׁל אִירִיס אַלוֹבִיץ',|עוֹרֵךְ הַדִּין שֶׁל שָׁאוּל אַלוֹבִיץ', אַחֲרֵי זֶה עוֹרֶכֶת הַדִּין שֶׁל אִירִיס אַלוֹבִיץ',
gold_000_line_008|וּבַסּוֹף יַעֲשֶׂה אֶת זֶה עוֹרֵךְ הַדִּין בּוֹעַז בֶּן צוּר, שֶׁהוּא עוֹרֵךְ הַדִּין שֶׁל נְתַנְיָהוּ.|וּבַסּוֹף יַעֲשֶׂה אֶת זֶה עוֹרֵךְ הַדִּין בּוֹעַז בֶּן צוּר, שֶׁהוּא עוֹרֵךְ הַדִּין שֶׁל נְתַנְיָהוּ.
gold_000_line_009|נָכוֹן.|נָכוֹן.
gold_000_line_010|לְמָשָׁל, הוּא שָׁלַף כָּל מִינִי, אָה, אֵס אִמ אָסִים וְ-… וְהַקַלָטוֹת וְהוֹדָעוֹת בִּשְׁבִיל לְהַרְאוֹת|לְמָשָׁל, הוּא שָׁלַף כָּל מִינִי, אָה, אֵס אִמ אָסִים וְ-… וְהַקַלָטוֹת וְהוֹדָעוֹת בִּשְׁבִיל לְהַרְאוֹת
gold_000_line_011|שֶׁעִיתּוֹנָאִים בְּוַואלָה לֹא יָכְלוּ לִכְתּוֹב בְּעֶצֶם יְדִיעוֹת עַל בֶּזֶק,|שֶׁעִיתּוֹנָאִים בְּוַואלָה לֹא יָכְלוּ לִכְתּוֹב בְּעֶצֶם יְדִיעוֹת עַל בֶּזֶק,
gold_000_line_012|הַחֶבְרָה הַאִם זוֹ שֶׁמַּחֲזִיקָה אוֹ הֶחֱזִיקָה אָז בְּוַואלָה,|הַחֶבְרָה הַאִם זוֹ שֶׁמַּחֲזִיקָה אוֹ הֶחֱזִיקָה אָז בְּוַואלָה,
